sent_nr	word_pos	word	item	ENCOW_log_freq	srp_1k	KLD_1k	srp_3k	KLD_3k	srp_10k	KLD_10k	srp_30k	KLD_30k	srp_100k	KLD_100k	srp_300k	KLD_300k	srp_1M	KLD_1M	srp_3M	KLD_3M	srp_6-47M	KLD_6-47M
1	1	Anne	101	-6.9147	9.2047		9.8174		10.8313		10.8041		11.1464		10.5241		9.9896		9.9688		9.9004	
1	2	lost	102	-9.8234	9.2639	0.95020294	9.1276	0.24062061	8.8189	0.14173174	8.4585	0.11373472	9.2	0.30926371	9.2451	0.62603474	8.3873	1.44121122	8.6471	2.28068447	8.404	2.26946974
1	3	control	103	-10.0214	9.3886	0.72876263	9.4314	0.18210983	8.8161	0.08034801	8.5117	0.07543707	8.2404	0.17601061	7.9493	0.48441124	8.9057	0.61764097	8.6939	1.18912315	8.0047	1.61085176
1	4	and	104	-14.5388	4.2811	0.60715151	4.1427	0.16811085	4.3163	0.06514311	3.5498	0.13533878	3.3345	0.3369031	3.7296	0.74470329	3.2831	0.92524672	3.2012	1.30629301	3.3694	1.66642666
1	5	laughed	105	-7.3106	10.0618	0.54128265	10.3211	0.17035866	10.5922	0.07542038	10.1527	0.26239395	9.832	0.37528992	10.0985	0.50807905	8.9045	0.67726851	8.1977	1.10589075	8.0748	1.27310991
2	1	Billy	201	-6.649	9.3928		10.0437		11.1083		11.0644		11.0422		10.4011		10.0137		10.1932		10.1066	
2	2	wrote	202	-8.9773	9.5117	0.9522419	9.8858	0.24051237	9.9707	0.14127398	9.8252	0.13925028	9.339	0.35285711	8.1844	0.56080151	5.8975	1.29373884	5.6463	1.90904665	6.1089	1.95653439
2	3	on	203	-13.4378	5.5643	0.73152924	5.1612	0.1832757	5.0521	0.08029175	4.637	0.10002041	4.2497	0.21152401	4.0513	0.72092962	4.4007	2.4492898	4.3021	2.69490075	4.7647	2.91737795
2	4	the	204	-15.3366	3.387	0.60712767	3.1685	0.16789436	3.3993	0.06112099	1.2941	0.45708275	1.4559	0.69243288	1.475	0.78799534	1.4668	0.98416996	1.4327	1.34389639	1.4999	1.4578414
2	5	envelope	205	-6.5539	9.399	0.54178524	10.0838	0.17798328	10.0017	0.35859394	10.188	1.00321102	10.5448	1.26565218	10.4799	1.47322321	9.1806	1.80312157	9.1724	1.98000288	9.0917	2.04531813
3	1	He	301	-12.8213	7.3485		5.6252		4.2557		3.6453		4.0414		3.9222		3.8199		3.7864		3.956	
3	2	called	302	-9.81	9.3106	0.94812107	8.9198	0.24023342	8.6339	0.14569187	8.3706	0.49844074	7.2299	1.73223114	6.4315	2.20994091	6.1509	2.35064507	6.2783	2.41007328	6.0792	2.41364765
3	3	over	303	-11.5252	8.4471	0.72702026	6.9742	0.18224239	7.059	0.0813117	6.8323	0.08983135	6.321	0.33386898	6.1586	1.16766644	6.6961	1.16831017	6.8114	1.20719004	6.6946	1.27721357
3	4	his	304	-11.9165	7.9929	0.60370207	6.7532	0.16681862	6.6605	0.06290293	6.181	0.1004796	4.9529	0.60502148	3.0953	0.83844471	2.9445	1.06603432	3.0984	1.04993057	3.2052	0.98587894
3	5	shoulder	305	-7.537999999999999	9.8095	0.53843546	10.4003	0.16959286	10.788	0.06945848	10.2731	0.40994549	9.3888	1.09761524	8.6274	1.57751083	6.0076	2.2753768	4.5996	2.67301512	3.9222	2.96861362
4	1	He	401	-12.8213	7.3485		5.6252		4.2557		3.6453		4.0414		3.9222		3.8199		3.7864		3.956	
4	2	stayed	402	-8.95	9.2346	0.94812107	9.9291	0.24023342	9.6884	0.14569187	9.0888	0.49844074	7.7109	1.73223114	7.0631	2.20994091	6.9811	2.35064507	7.1028	2.41007328	7.273	2.41364765
4	3	against	403	-10.1575	9.2059	0.72678185	9.1718	0.1816535	8.7445	0.0801239	8.4637	0.10587025	7.7717	0.29440403	6.9974	1.29505444	6.8972	1.8976965	7.9164	2.12390471	8.1981	2.10402274
4	4	the	404	-15.3366	3.3788	0.60227776	3.1729	0.16664171	3.466	0.06258917	3.0457	0.05445242	1.503	0.70273161	1.5363	1.12382936	1.1703	1.53695011	1.397	1.76521873	1.4418	1.96282005
4	5	wall	405	-8.9345	9.9225	0.53974295	10.1587	0.17754984	9.3683	0.36157227	8.5564	0.97644711	7.962	1.26645756	7.169	1.40818739	6.2879	1.81180859	5.6948	2.21387529	5.672	2.29022217
5	1	Helen	501	-6.8721	9.3219		9.9986		10.9582		11.0235		10.8141		10.1367		9.9402		9.8068		9.7263	
5	2	ran	502	-8.4405	9.5651	0.94976521	10.2597	0.24013424	10.3911	0.14393091	10.1811	0.11889601	9.9506	0.28816128	8.6828	0.59127283	7.6652	1.32019472	7.5975	2.038908	7.5385	2.12165833
5	3	to	503	-14.855	4.1164	0.7299633	3.6063	0.18278837	3.7648	0.0798521	3.0618	0.10213089	3.2406	0.20959044	2.3506	0.78275108	3.1135	1.42589855	3.2092	1.36333132	3.5133	1.6303544
5	4	the	504	-15.3366	3.3797	0.60423756	3.178	0.16879559	3.5428	0.07826567	2.5374	0.54095364	2.3841	1.02632713	1.724	0.94663572	1.4937	1.09551287	1.5606	1.49107122	1.6178	1.61905336
5	5	toilet	505	-8.0646	10.3094	0.54019547	10.6858	0.17828798	9.7529	0.40565586	9.3395	0.99522972	8.9236	1.24771643	8.1592	1.45991755	7.4286	1.84428358	7.1446	2.34635067	6.9317	2.54637623
6	1	I	601	-14.2931	5.761		2.9695		2.2966		2.2103		2.1453		2.3647		2.4492		2.2039		2.353	
6	2	cannot	602	-10.2338	9.2166	0.95098495	8.8764	0.24129534	8.1276	0.15622663	7.3158	1.42028475	5.4361	2.10472012	5.5373	2.38911915	5.371	2.47951794	5.5839	2.46599388	5.5338	2.48008728
6	3	tell	603	-10.5115	9.3572	0.72797298	8.6063	0.1823101	7.9922	0.08696795	7.2354	0.34839249	5.3382	1.35788918	4.4039	2.2068305	3.8538	2.67034149	3.7908	3.01100445	3.6575	3.15686369
6	4	you	604	-13.9512	4.4588	0.60446262	4.3784	0.16690588	4.2004	0.06427956	4.2157	0.09776878	2.4342	1.00286007	1.0612	2.09349179	0.8966	2.22699642	1.1176	2.10388875	0.8196	2.28428674
6	5	more	605	-12.450999999999999	7.201	0.53850555	6.2011	0.16897249	5.823	0.06120729	6.0649	0.49524927	6.8148	0.82376337	5.4426	0.65203762	5.3039	1.24665451	4.3831	1.61239076	4.8872	1.8463738
7	1	Michael	701	-8.2327	9.428		10.0804		10.6137		9.8748		9.0621		8.5909		8.4096		8.3661		8.2777	
7	2	gave	702	-9.54	9.3682	0.95279694	9.9413	0.24219084	9.0087	0.14054012	8.862	0.11896133	8.7116	0.37314081	7.3982	0.80292177	6.819	1.83220291	6.3299	2.36862373	6.5324	2.50114155
7	3	Adam	703	-7.4911	9.6376	0.73189831	10.3339	0.1836319	10.7624	0.08049726	10.7418	0.06833744	11.2309	0.52631903	11.3782	2.15360689	10.5644	2.59038067	9.6408	2.31903148	9.519	2.31077194
7	4	two	704	-11.4324	8.5046	0.60595798	7.0739	0.16780138	7.1093	0.06469488	6.9041	0.10483456	7.3489	0.2794733	6.655	0.32748604	6.2987	0.57338667	6.4533	0.82799006	6.9139	0.92514896
7	5	pounds	705	-8.215	9.6193	0.53967905	10.186	0.16960859	10.3914	0.06817675	10.0105	0.15555525	9.4649	0.6209321	7.5691	1.15673542	6.9487	1.06450033	8.0539	1.40893173	8.0878	1.57298803
8	1	Roger	801	-6.8967	9.2797		9.9544		11.0975		10.9065		10.7366		10.4123		9.6933		9.9142		9.6795	
8	2	smiled	802	-7.1616	9.5208	0.95203209	10.3248	0.24125767	10.5145	0.14470005	10.5625	0.11916685	10.7692	0.32776594	9.2902	0.60070848	6.3295	1.35130405	5.8377	2.1590085	6.1624	2.36680984
8	3	and	803	-14.5388	4.5526	0.73248482	4.2744	0.18350029	4.6419	0.08075237	4.1452	0.0923667	3.753	0.27219534	3.3959	0.94149208	3.1333	1.18044066	2.7995	1.32230473	2.8091	1.51540089
8	4	sat	804	-8.3968	9.5691	0.60782576	10.1225	0.16906357	10.0675	0.07775974	9.837	0.2680583	9.3893	0.36554384	9.1321	0.49115753	7.2471	0.95052958	5.9503	2.43923378	6.2679	2.8733387
8	5	down	805	-11.0981	9.3272	0.54055977	7.8699	0.16937876	7.4277	0.06614971	7.0545	0.07318115	6.7105	0.20563984	4.6465	0.94639397	3.0223	1.6134181	2.119	1.98101521	1.9869	2.23044467
9	1	Things	901	-11.3017	8.6913		7.6094		7.7126		8.0016		7.4043		7.5747		7.5165		7.7618		7.5404	
9	2	were	902	-12.1975	7.7277	0.95240021	6.4161	0.24144793	6.0515	0.14299393	5.7015	0.14259911	4.5934	0.55807734	4.1726	0.9221077	3.0283	1.76307201	3.0257	1.91279745	2.9985	1.99598455
9	3	looking	903	-10.8029	9.0584	0.73021221	8.1101	0.18290854	7.4145	0.08091831	7.3027	0.20172977	5.5977	0.62593269	5.265	1.03260756	7.2675	1.4224391	7.6167	1.75402117	7.2743	1.87494612
9	4	up	904	-12.2438	7.7901	0.60497189	6.1529	0.16730833	6.3449	0.0638485	5.7228	0.12384701	4.9912	1.05604362	5.5267	2.44744301	5.091	2.44436669	4.3295	2.24588203	3.9574	2.41379642
9	5	again	905	-11.1122	9.2598	0.54015732	7.3705	0.16931772	7.144	0.06609869	7.2489	0.23382807	6.364	0.71732426	5.3405	1.25451469	5.0259	1.15301538	4.8149	1.07566428	4.9946	1.16426826
10	1	This	1001	-13.5166	6.3651		4.9197		3.7705		3.5719		3.7102		3.5086		3.6029		3.6282		3.6115	
10	2	man's	1002																			
10	3	hair	1003	-8.5736	10.052	0.60428429	10.3627	0.1675024	10.3059	0.06580448	9.6473	0.24782753	9.6104	0.58986759	9.316	0.74221754	7.6535	1.09015512	6.8406	1.4067626	6.6967	1.42064524
10	4	is	1004	-14.1387	4.0795	0.53999805	4.2291	0.1696105	4.1831	0.06756306	4.4438	0.14347553	3.7435	0.30274391	3.1893	0.53990364	1.7563	0.95815039	1.5057	1.27861881	1.3179	1.5289793
10	5	black	1005	-9.454	9.8658	0.50283527	9.9131	0.17600393	9.1317	0.06932402	9.0161	0.18276978	8.9724	0.64843321	8.3123	1.06196547	7.5355	1.17525101	6.7942	1.52070808	6.7536	1.60830593
11	1	Turn	1101	-9.9292	9.0573		9.1033		8.9886		8.859		8.8366		8.5917		8.4588		8.5078		8.4748	
11	2	your	1102	-12.8284	6.7304	0.95111084	5.8183	0.24063492	5.4055	0.14219618	5.848	0.11968374	4.9276	0.29144955	4.1743	1.25622702	3.5305	1.33927298	3.2577	1.76494455	3.1237	2.22754526
11	3	hearing	1103	-8.7743	9.5623	0.73061275	10.238	0.18363094	9.9646	0.08508301	8.9437	0.68852806	8.8604	1.09991932	8.6052	1.46196651	8.3961	2.02696753	9.6541	2.7313633	9.6609	2.80145359
11	4	aid	1104	-8.6932	9.8476	0.60715485	10.1929	0.1684289	10.3104	0.0673089	10.1192	0.16012239	9.5778	0.22236919	10.1203	0.49456596	10.6551	1.04273033	10.8684	1.53728724	10.0018	1.54088449
11	5	up	1105	-12.2438	7.7634	0.5398922	6.1144	0.16971302	6.3412	0.06707954	5.7749	0.13977671	5.8683	0.28199863	5.5502	0.64866018	4.9353	0.79548883	4.8521	1.034585	4.9459	1.18550491
12	1	You'll	1201																			
12	2	demand	1202	-8.9962	9.7568	0.72960663	10.1023	0.18261385	10.023	0.08205986	9.7427	0.28921032	9.7846	1.64697838	9.9426	2.165308	10.0357	2.45346069	10.0381	2.68695974	9.5039	2.76318336
12	3	nothing	1203	-10.5756	9.1514	0.60510349	8.2668	0.16721392	7.9398	0.06352997	7.6331	0.10368633	7.0642	0.41871023	7.8281	0.64239407	7.2744	0.91578293	5.8447	1.1919241	5.9995	1.12822104
12	4	of	1204	-14.4818	3.9869	0.53926134	3.9963	0.16910219	3.9319	0.06599045	3.8456	0.24885988	5.4867	0.5665493	4.0494	1.06138229	4.2893	1.167032	4.3837	1.25452995	4.1918	1.35772252
12	5	me	1205	-12.2574	7.3776	0.50281191	6.2011	0.1761179	6.1367	0.06898737	5.9313	0.55697346	4.3758	0.77172947	4.7757	1.13850784	4.7017	1.09140396	5.9858	1.2733922	6.6876	1.34346247
13	1	A	1301	-14.5303	5.7785		4.3662		4.0322		4.2959		4.3946		4.2006		4.3242		4.2225		4.2756	
13	2	horse	1302	-8.1739	9.4139	0.9523592	10.0599	0.24807644	10.032	0.19084978	9.2435	1.00037766	8.8183	1.29212952	8.2776	1.69260359	8.019	1.83945656	8.2201	1.93573618	8.1537	1.94068336
13	3	has	1303	-12.5561	6.7544	0.72931004	6.0626	0.18538475	5.9273	0.1040926	5.4916	0.22576904	4.8662	0.36237812	4.2076	0.50636387	3.7797	0.66342258	3.9346	0.83965445	3.7913	1.03900337
13	4	thrown	1304	-7.6525	10.109	0.60529089	10.807	0.16853571	10.9467	0.07577562	10.5093	0.20814371	10.2381	1.79178572	8.8959	1.86623335	8.239	1.93668413	7.5389	1.8229084	7.7453	1.82953024
13	5	a	1305	-14.5303	4.0374	0.53843594	4.113	0.16938686	3.7673	0.06556559	4.0893	0.1050806	2.9131	0.3398118	2.594	0.65732813	3.2904	1.98499155	3.1036	1.9318943	2.9883	2.0118227
13	6	shoe	1306	-6.8024	9.678	0.50315285	10.3007	0.17932796	10.3958	0.17531824	10.0113	1.0427494	10.335	1.35929871	10.3408	1.61879539	9.7416	2.03005075	8.5218	2.35487652	7.9688	2.64958858
14	1	A	1401	-14.5303	5.7785		4.3662		4.0322		4.2959		4.3946		4.2006		4.3242		4.2225		4.2756	
14	2	tube	1402	-7.5396	9.4048	0.9523592	10.0996	0.24807644	10.3345	0.19084978	9.7202	1.00037766	9.9452	1.29212952	9.3629	1.69260359	9.7791	1.83945656	9.6439	1.93573618	9.7625	1.94068336
14	3	train	1403	-9.0224	9.4036	0.730937	9.9591	0.18547487	9.5352	0.10341167	9.2164	0.23249435	8.9771	0.38116693	9.1075	0.55415869	8.7125	0.78734303	7.1345	1.28690004	7.0172	1.7069149
14	4	took	1404	-10.1895	9.6013	0.60552883	9.5244	0.1680336	8.2363	0.07137346	8.359	0.11095858	7.69	0.1904583	7.5319	0.4393177	7.0455	0.71825743	6.7535	1.29351664	6.377	1.50442266
14	5	his	1405	-11.9165	7.9863	0.53719854	6.7399	0.1680212	6.6904	0.06265163	6.4288	0.05411911	5.4537	0.42649746	5.12	0.79494953	4.916	1.67337656	5.2311	2.10926914	5.7939	2.18858385
14	6	legs	1406	-7.9479999999999995	10.0721	0.5023303	10.5996	0.17614603	10.6209	0.07312298	9.7107	0.42679405	8.9944	1.11092567	8.2274	1.54167271	6.3931	2.21400213	5.6326	2.53704166	5.7713	2.66263247
15	1	Five	1501	-9.8528	9.2394		9.0365		9.4453		9.0383		8.5508		8.6161		8.2751		8.4668		8.4364	
15	2	will	1502	-12.9996	6.8195	0.9557991	5.5705	0.24329376	4.9089	0.1417408	4.8718	0.11410809	6.4204	0.59869862	7.6452	1.75796366	6.6369	1.85292768	5.9953	2.18830633	6.4538	2.31645393
15	3	be	1503	-13.5025	5.2624	0.73056316	4.904	0.18240404	4.8113	0.08247042	3.2131	0.46486855	1.3242	1.39377642	1.7505	1.10454464	1.6589	1.40274477	1.1574	2.02209234	1.2756	1.98165703
15	4	listening	1504	-8.5715	9.7004	0.60329151	10.3514	0.16644573	10.1771	0.06854868	9.3354	0.29379892	8.7651	0.77614641	8.546	1.33809328	9.1355	1.6415844	9.9493	1.94272327	9.6782	1.98776102
15	5	for	1505	-13.7883	4.5039	0.53815508	4.7023	0.1690979	4.4798	0.06797647	4.0634	0.22353363	2.8223	1.06703424	2.7221	1.67456126	3.6835	1.76951051	4.3567	1.806391	4.4472	1.60823536
15	6	sure	1506	-11.0784	9.188	0.50230122	7.7059	0.17634773	7.2105	0.0708766	7.6258	0.38898706	7.5098	0.70315409	7.6772	0.82458544	7.441	0.98987818	7.1677	0.96070337	7.0829	1.06119347
16	1	Gordon	1601	-7.5807	9.2133		9.8201		10.8354		10.6789		10.2109		9.6102		9.4829		9.6148		9.5698	
16	2	felt	1602	-9.7749	9.2658	0.9552021	9.6161	0.24247313	8.7939	0.14084435	8.6256	0.11516285	9.1247	0.33808756	9.3223	0.67217445	8.641	1.97307777	8.2601	3.43086004	8.2645	4.21229649
16	3	his	1603	-11.9165	8.0275	0.73103046	6.7879	0.18277979	6.6261	0.07962608	6.5774	0.07573986	6.1862	0.13337946	6.2711	0.40574455	4.4987	0.93875647	3.7949	1.37559509	3.1957	1.46216726
16	4	anger	1604	-7.5283	9.385	0.6060524	10.1133	0.16777563	10.4668	0.06633615	9.8808	0.42077446	9.8794	1.07808781	9.189	1.53371906	8.5451	2.1769166	6.9333	2.49184465	6.2672	2.50613356
16	5	build	1605	-9.6372	9.5962	0.53927755	9.6724	0.16905308	9.3254	0.06626129	9.101	0.15581846	10.4482	0.36633348	10.2587	0.71998024	11.8933	1.01771307	12.1969	1.28215647	12.379	1.36511946
16	6	up	1606	-12.2438	7.7621	0.50370407	6.1011	0.17649269	6.3488	0.07461119	5.7259	0.11583185	5.6565	0.14075279	2.7391	0.75181389	2.3481	1.23345995	2.3884	1.1301651	2.2762	1.22956705
17	1	Harry	1701	-9.345	9.2876		9.2924		9.2605		8.5267		7.4238		7.3474		7.2185		7.4162		7.3585	
17	2	smiled	1702	-7.1616	9.5231	0.95540428	10.323	0.24239969	10.5123	0.14243078	10.602	0.10966587	10.5939	0.67981911	7.589	1.13550615	4.3912	2.07003641	3.9545	2.57097626	4.342	2.57873726
17	3	at	1703	-12.8976	6.3029	0.73451042	5.5951	0.18406105	5.4438	0.08060741	5.0623	0.09809494	5.487	0.22996092	4.5093	0.93793368	3.3106	1.12854362	2.2172	1.43290043	1.9144	1.64586377
17	4	his	1704	-11.9165	7.9966	0.60722733	6.7538	0.16773796	6.6649	0.0613842	6.0147	0.44409323	5.0322	0.91166544	4.2757	1.20761585	3.01	1.73669815	2.5008	3.05413222	2.4608	3.51939464
17	5	little	1705	-10.9342	9.3102	0.54043722	7.9074	0.1700387	7.5782	0.06911898	6.5727	0.44777012	7.0329	1.14082336	7.1231	1.71663475	6.7845	2.41218376	6.9493	3.03227043	6.6679	3.23189592
17	6	brother	1706	-8.6081	9.9507	0.50432634	10.1302	0.17706299	10.1736	0.07664824	9.524	0.16573191	8.8178	0.58523512	7.9237	0.86651945	5.6329	1.02123404	3.81	2.03100538	3.3894	2.45076036
18	1	He	1801	-12.8213	7.3485		5.6252		4.2557		3.6453		4.0414		3.9222		3.8199		3.7864		3.956	
18	2	needed	1802	-10.0485	9.1378	0.94812107	9.0017	0.24023342	8.6709	0.14569187	8.3425	0.49844074	7.3365	1.73223114	6.7616	2.20994091	6.9591	2.35064507	6.6097	2.41007328	6.6887	2.41364765
18	3	putting	1803	-9.1253	9.6072	0.72736835	10.1089	0.18158293	9.8735	0.08078623	9.6977	0.14656734	10.1228	0.61839581	9.9936	0.94085646	10.7129	1.23197365	10.5101	1.63369036	9.9971	1.59907556
18	4	in	1804	-14.1592	4.375	0.60459328	4.3061	0.1667366	4.2881	0.06375313	4.1005	0.0607338	4.2278	0.36515093	3.8711	1.11000824	4.0195	1.28200817	3.12	1.55910349	2.7727	1.6826973
18	5	his	1805	-11.9165	7.9783	0.53743172	6.736	0.16885281	6.6949	0.06259918	6.1728	0.60172653	4.9554	0.81836605	3.6752	1.02660275	2.8031	1.02807856	2.4874	1.14872456	2.5219	1.14203978
18	6	place	1806	-11.0475	9.1108	0.50246191	7.6867	0.17687321	7.5374	0.07598877	6.2832	0.49350452	5.9655	1.13490963	6.6655	1.66184759	5.5307	2.41329145	5.1428	2.72373486	4.7927	2.73973846
19	1	He	1901	-12.8213	7.3485		5.6252		4.2557		3.6453		4.0414		3.9222		3.8199		3.7864		3.956	
19	2	shouted	1902	-6.6933	9.6069	0.94812107	10.3379	0.24023342	10.9559	0.14569187	11.1718	0.49844074	11.009	1.73223114	8.7272	2.20994091	7.7617	2.35064507	7.0173	2.41007328	7.5622	2.41364765
19	3	and	1903	-14.5388	4.5419	0.72779369	4.2672	0.18206072	4.6431	0.08075047	4.5339	0.10389948	4.6108	0.24691057	4.2308	0.65815639	3.6783	0.80828524	3.3334	1.02814007	3.457	1.20550966
19	4	the	1904	-15.3366	3.3841	0.60582304	3.1792	0.16848087	3.5533	0.07685995	2.9924	0.28231812	2.7486	0.36803961	3.003	0.47537661	3.7394	1.24107504	4.5557	2.6140461	5.0842	3.11986017
19	5	calling	1905	-8.4312	9.3579	0.54104853	9.9903	0.17805958	9.4961	0.40092564	9.3841	0.95415401	10.2172	1.27271605	11.2356	1.37341547	10.3689	1.59077883	9.6989	2.04756594	9.5044	2.28801918
19	6	ceased	1906	-6.375	10.1778	0.50357199	10.6819	0.178936	10.6334	0.13077211	11.479	0.21657324	11.596	0.22538471	11.3741	0.36850929	10.5614	0.74492645	10.1977	1.19392443	10.3238	1.3715992
20	1	He	2001	-12.8213	7.3485		5.6252		4.2557		3.6453		4.0414		3.9222		3.8199		3.7864		3.956	
20	2	uses	2002	-8.5589	9.1487	0.94812107	9.7601	0.24023342	10.3002	0.14569187	10.2429	0.49844074	9.2974	1.73223114	7.756	2.20994091	7.1535	2.35064507	6.957	2.41007328	7.1968	2.41364765
20	3	his	2003	-11.9165	8.0294	0.72776699	6.7891	0.18212271	6.6315	0.08073521	6.6008	0.11409235	5.8771	0.19890547	3.0011	1.02759075	2.9107	1.0609107	2.7393	1.11433601	2.7461	1.21047735
20	4	belt	2004	-7.4372	9.5952	0.60396194	10.3422	0.16755056	10.6337	0.06667328	10.1832	0.3871603	9.6073	1.04435825	9.3118	1.5266428	9.2487	1.96749496	7.8159	2.23915958	7.591	2.28767633
20	5	on	2005	-13.4378	5.217	0.53779125	5.0748	0.16925716	4.9274	0.06683302	4.5288	0.11917067	4.277	0.27924967	3.8882	0.5673337	3.3928	0.77337265	3.4095	0.86809635	3.5473	0.92681074
20	6	you	2006	-13.9512	4.2541	0.50360394	4.5579	0.17680025	4.3914	0.07124996	4.5474	0.414886	4.6792	0.66727495	7.4722	1.08356237	6.945	1.65977669	7.4354	1.73504829	7.3947	1.87221718
21	1	He's	2101																			
21	2	broken	2102	-8.6172	9.4274	0.72617245	9.9228	0.1820755	9.7652	0.08196449	9.599	0.27162027	8.78	0.71282339	7.6644	1.04179764	8.1234	1.52904034	7.5891	1.64252996	7.8156	1.65437269
21	3	his	2103	-11.9165	7.9955	0.60317373	6.7535	0.16692352	6.6675	0.06412125	6.5641	0.08415031	6.864	0.2794776	5.1485	0.43860674	4.5558	1.29106855	4.2209	1.33079123	3.8885	1.42861891
21	4	wrists	2104	-5.0626	10.1309	0.53781939	10.7259	0.16963959	11.016	0.07008934	10.5771	0.41683006	10.7619	1.06439877	11.1768	1.64401054	11.4329	2.3922348	10.6954	3.37656832	10.1284	3.76880789
21	5	very	2105	-12.1664	8.0737	0.50326204	6.3146	0.17650366	6.1468	0.07571268	6.3634	0.18843269	7.0485	0.38875771	7.0741	0.68846464	7.6505	1.13253522	7.2067	1.22962141	6.8628	1.29892802
21	6	badly	2106	-8.0408	10.2727	0.48284006	10.6351	0.18352461	10.5779	0.08496237	9.7046	0.4393549	9.8141	0.87417507	8.3603	1.82508802	5.8848	2.67293835	4.3316	3.83357716	3.9809	4.18849945
22	1	I	2201	-14.2931	5.761		2.9695		2.2966		2.2103		2.1453		2.3647		2.4492		2.2039		2.353	
22	2	am	2202	-11.5087	8.6846	0.95098495	7.0729	0.24129534	6.2248	0.15622663	3.3344	1.42028475	3.0389	2.10472012	2.9516	2.38911915	3.0704	2.47951794	3.0365	2.46599388	2.966	2.48008728
22	3	touched	2203	-7.5353	9.3944	0.72916698	10.1649	0.18286085	10.7522	0.08704805	10.8162	0.26016378	9.9911	0.67914629	9.3801	1.67193127	10.0085	2.3293066	10.3425	2.28127861	9.9239	2.37042522
22	4	deeply	2204	-7.7685	9.7739	0.6044693	10.4832	0.16746855	10.5375	0.06553698	11.1201	0.08554268	10.8756	0.36371517	10.7917	0.7104907	10.1514	0.93930578	9.9684	1.96771407	9.8729	2.21437001
22	5	in	2205	-14.1592	4.2279	0.54003191	4.2942	0.17008448	4.2445	0.06630182	3.8894	0.11043119	3.5768	0.22762346	3.1396	0.43787813	3.4124	0.8305068	2.9843	1.25824356	3.0091	1.43629718
22	6	places	2206	-9.5033	9.9904	0.50281858	9.9285	0.17676592	9.4456	0.06871891	9.0094	0.56179333	8.5511	0.81520176	8.5845	1.1021924	8.0451	1.32996893	8.3484	1.52097034	8.4277	1.61994934
23	1	I	2301	-14.2931	5.761		2.9695		2.2966		2.2103		2.1453		2.3647		2.4492		2.2039		2.353	
23	2	don't	2302																			
23	3	want	2303	-11.6581	8.4871	0.60359335	7.1152	0.16653681	6.5583	0.06267738	4.7648	0.70527124	3.9612	1.44415188	2.8071	2.59881878	2.7	3.29543328	2.7335	3.57174587	2.6764	3.62506938
23	4	to	2304	-14.855	3.6863	0.53847551	3.4908	0.16935587	3.4702	0.06537342	1.7096	0.43862867	0.7227	1.45502114	0.5136	2.00739431	0.3705	2.24975348	0.4022	2.26063728	0.4553	2.17379522
23	5	hear	2305	-9.9508	9.9194	0.50256205	9.3106	0.17718458	8.4682	0.07831717	7.8653	0.58587074	5.2039	1.39876461	4.5056	2.03586245	4.3072	2.36779642	4.2582	2.46499205	4.2091	2.43145943
23	6	it	2306	-14.1236	4.4375	0.48368835	4.3963	0.18459797	4.6264	0.0789609	4.0322	0.11134815	2.6541	0.72526455	2.5972	0.99913597	2.9219	1.25278711	2.7943	1.60265636	2.8772	1.66117859
24	1	I	2401	-14.2931	5.761		2.9695		2.2966		2.2103		2.1453		2.3647		2.4492		2.2039		2.353	
24	2	knew	2402	-9.7764	9.1489	0.95098495	9.3635	0.24129534	8.6154	0.15622663	7.9034	1.42028475	5.6732	2.10472012	5.9056	2.38911915	5.6022	2.47951794	5.5319	2.46599388	5.7445	2.48008728
24	3	I	2403	-14.2931	4.5946	0.73140144	3.6658	0.1834836	4.2423	0.08630228	4.3726	0.26850271	2.9205	0.78295851	2.7072	1.1541729	2.2922	1.35910869	1.8689	1.52583051	1.9424	1.52982235
24	4	heard	2404	-9.7849	9.4622	0.60599327	9.1758	0.16790485	8.5203	0.06996822	8.5468	1.53567791	6.316	2.02466631	6.3864	2.331213	6.5492	3.18654776	6.8784	3.61048269	6.9128	3.61084652
24	5	your	2405	-12.8284	6.2647	0.54003286	5.6663	0.17063761	5.5365	0.06624031	5.2672	0.18843222	4.8031	0.6334548	4.8013	0.92185974	6.2139	1.02750969	5.9712	1.30724955	6.1114	1.35622454
24	6	voice	2406	-9.0105	10.0379	0.50433111	10.2115	0.17811871	9.7953	0.08376932	8.5323	0.59614182	7.7326	1.03786182	6.4305	1.5427742	5.5251	1.98264313	4.6862	2.40660286	4.1387	2.59697914
25	1	I	2501	-14.2931	5.761		2.9695		2.2966		2.2103		2.1453		2.3647		2.4492		2.2039		2.353	
25	2	wouldn't	2502																			
25	3	want	2503	-11.6581	8.4882	0.60300255	7.1131	0.16650343	6.564	0.06374598	4.9724	0.56189585	4.3385	1.49302959	3.6381	2.19409895	3.3562	2.55047226	2.9893	2.62442303	2.8215	2.66076517
25	4	to	2504	-14.855	3.6853	0.53811979	3.4908	0.16934824	3.4842	0.06552076	1.7974	0.41216564	0.7089	1.49271798	0.3469	2.30698967	0.2104	2.65499926	0.4347	2.25248361	0.4496	2.24254465
25	5	miss	2505	-8.9749	9.9513	0.50246286	10.0158	0.17717171	9.5612	0.0785141	8.7264	0.57461739	7.3657	1.3933568	7.0297	2.09286022	5.9571	2.46699333	5.9805	2.50159311	5.4853	2.46745491
