sent_nr	word_pos	word	item	ENCOW_log_freq	srp_1k	KLD_1k	srp_3k	KLD_3k	srp_10k	KLD_10k	srp_30k	KLD_30k	srp_100k	KLD_100k	srp_300k	KLD_300k	srp_1M	KLD_1M	srp_3M	KLD_3M	srp_6-47M	KLD_6-47M
330	11	not	33011	-13.2361	5.3216	0.45381069	5.2104	0.19732428	5.0948	0.06406927	4.681	0.75579262	4.6831	1.59255695	4.1964	1.43760109	3.6272	1.41983366	3.1401	1.60410023	2.6912	1.678792
330	12	in	33012	-14.1592	3.9871	0.45263147	4.3266	0.19906044	4.1644	0.07948875	5.2651	0.17281008	5.3324	0.42862844	4.6957	0.53628206	3.5427	0.6923871	3.6373	0.82658195	3.6262	0.86937428
330	13	so	33013	-12.7181	6.3546	0.45115757	5.8497	0.19944143	6.0936	0.08215427	6.0428	0.60211325	8.2117	0.86684179	7.8415	1.0737052	6.992	1.33329678	6.8401	1.52431583	6.6083	1.50107765
330	14	many	33014	-11.6401	8.2599	0.45043659	6.8197	0.19929934	6.7632	0.08452463	6.8694	0.18234873	5.9966	0.27190638	3.1272	0.98833418	1.7422	2.44511461	0.9167	3.72637129	1.099	3.62434268
330	15	words,	33015	-9.8343	10.1136	0.45059443	9.4975	0.20018244	9.0588	0.09374619	8.2469	0.12956047	7.0661	0.53244829	5.3215	1.37572527	5.269	1.4916482	4.4134	2.34938335	4.1038	2.83119535
330	16	that	33016	-14.0036	4.4477	0.45033073	4.7091	0.19827938	4.5053	0.0611639	4.1761	0.30427933	4.5664	0.59920788	3.8112	0.69295168	3.9431	0.83311176	4.0106	1.04208422	3.8396	0.93701506
330	17	she	33017	-11.9159	8.4618	0.44954586	6.4975	0.19717026	6.9351	0.06206226	5.466	0.46700668	5.431	1.03454351	5.1974	1.28072643	4.9011	1.27481651	4.3353	1.19827795	4.0682	1.18198538
330	18	really	33018	-11.7182	8.1438	0.44988394	6.9713	0.19954252	6.7322	0.07789278	5.4274	0.36486721	5.3236	1.85182333	5.8175	2.36522818	5.6953	2.53602743	5.6094	2.86165476	5.8844	2.9239316
330	19	needed	33019	-10.0485	9.5811	0.45013666	9.0652	0.19965601	8.5442	0.08862591	8.0588	0.12652636	6.43	0.96850824	5.9884	1.52768946	5.8882	2.67939329	4.3544	3.19537687	4.0393	3.3134017
330	20	to	33020	-14.855	3.4594	0.45010614	3.526	0.19906235	3.4649	0.09368515	2.4887	0.32141638	1.2053	0.92247415	1.3652	0.96004987	1.3396	1.06876469	0.8083	1.74025154	0.8587	1.73319364
330	21	be	33021	-13.5025	4.6678	0.44989014	4.8101	0.19990349	4.8415	0.08929539	2.5515	0.55092955	2.1099	1.32462072	2.2219	1.88570213	1.998	2.25965452	1.9802	2.45368481	2.1628	2.50984621
330	22	moving	33022	-9.3513	10.2815	0.44901991	9.9323	0.19928837	9.2918	0.09187698	8.6468	0.28475618	7.9111	0.57895374	7.5209	0.97543478	7.3771	1.31439209	7.5729	1.4791069	8.0299	1.643713
330	23	out	33023	-12.312999999999999	7.1896	0.44952726	6.0213	0.19947147	6.0497	0.08994913	5.7593	0.40390158	4.6049	0.69027281	3.7376	1.12464333	3.2607	1.82219028	3.5258	1.78249931	3.2858	1.80961132
330	24	soon	33024	-10.0886	9.7198	0.44916248	8.9757	0.19913292	8.323	0.09067249	8.9762	0.49404716	8.6529	0.74341249	8.3774	0.97918797	6.7017	1.18277836	6.6553	1.158149	6.8408	1.26220727
331	1	The	33101	-15.3366	5.02		3.1084		2.8806		2.5573		2.6676		2.6715		2.5921		2.6112		2.6165	
331	2	very	33102	-12.1664	8.1245	0.95442867	6.5286	0.25819921	6.3477	0.36685276	5.5669	0.92411327	7.114	1.26885509	6.2817	1.40439653	6.7048	1.51362038	6.6584	1.54577923	6.7267	1.56129599
331	3	streets	33103	-8.0564	9.8356	0.72971821	10.4885	0.18875504	10.3584	0.14885092	9.647	0.60652637	9.2006	0.94756317	10.4427	1.81605053	12.43	2.62550163	11.5135	2.80013371	11.2071	2.80905771
